,population,violent_crime,homicide,rape_legacy,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
New Jersey,0.027762063179205414,0.01700443215106339,0.021707919370585194,0.01121996493760957,0.010980712009304151,0.026863222925687432,0.013809774067164644,0.01740700987446601,0.016637375898918824,0.01797377602711151,0.01475843553284938
New Mexico,0.006448341772082816,0.011344844376893076,0.007982541779130535,0.011519026503042177,0.011532013231229326,0.008224232790560011,0.012680234426176428,0.010333567508731127,0.011395372608241201,0.009372638881384487,0.01530451328702316
Nevada,0.009088435560095705,0.015497749699363569,0.013093665652099006,0.013241208621223058,0.013057531680940081,0.019044642830313974,0.01448226734845862,0.009575797783447878,0.012408294617862642,0.007785701442114783,0.017147362796335153
New York,0.06133556578051049,0.05780542405682612,0.03612243725951875,0.04727235227389914,0.047434561300164636,0.0670378639230522,0.05615941577768867,0.038496921875808,0.02627925916888958,0.04446365571358596,0.01874649741297293
Ohio,0.03593797374188572,0.027814898188091842,0.03922356859817378,0.04387955037640508,0.04345461960215687,0.03778279251315366,0.020857254583539854,0.03795722536207847,0.04423686284336968,0.03792883228650616,0.02575558133169988
Oklahoma,0.012124721829857575,0.013888391933453951,0.01418480445644059,0.015912137774569454,0.01585935021976528,0.009537345589052787,0.015360244687925757,0.014884221917555965,0.019372133434010043,0.01352705614955973,0.015999165895554484
Oregon,0.01263424247300842,0.008543052848228773,0.006661689542295986,0.013468082912240898,0.013472895615267268,0.006932153835521354,0.008438545322311086,0.015351647783384815,0.011157309557802829,0.016210748409829518,0.017320700126418957
Pennsylvania,0.03953880747426605,0.03141631261832941,0.03870671337506461,0.03351552026399918,0.03367468696663495,0.03700153547057215,0.028571001591567433,0.028049840260426586,0.023198288056291032,0.030850680312179187,0.0170326734350767
Rhode Island,0.003270088410715159,0.00196716567906497,0.0016654223855739965,0.0034031143652676087,0.0033606718322835953,0.0016256156155253804,0.0018854719034797792,0.0023850575075076968,0.002407008681717615,0.002507956388450681,0.001437526880319045
South Carolina,0.015336212058074939,0.019552646767361074,0.02055935220812037,0.01841806744353924,0.018812210189254913,0.012232682385959008,0.022686685380245136,0.020373764115163846,0.021860255011029374,0.020276057670419064,0.018154804571934993
South Dakota,0.0026639647166648316,0.0028282382005062204,0.0016079940274507552,0.0039806125605857485,0.003972389626474542,0.000823324729489749,0.003496965062728679,0.0021702635923683206,0.00197968220890857,0.002250730092199329,0.0019549322941782117
Tennessee,0.020560550318904938,0.033026448227528496,0.028427037271004423,0.021202433742394555,0.02116845650762004,0.02352485148604104,0.039019554610190514,0.02411531519714247,0.026778466174933478,0.02397820308299534,0.01986080882065451
Texas,0.08628432251869465,0.094168819996173,0.08487911330615058,0.10214499329689594,0.10154515383569714,0.10005498847645862,0.09071436221484416,0.09710400288578085,0.09812418186434363,0.0978072875469345,0.08991385265023655
Utah,0.009413312096452405,0.005760707401801174,0.004249698501119853,0.011818088068474786,0.011781231591825638,0.004591387542555973,0.005285299047799328,0.01142216779150738,0.008532021458647262,0.012092647526455601,0.012201384092064279
Virginia,0.026018013553152634,0.014386211638713571,0.027680468615402284,0.020954934515829637,0.021372362439017023,0.014501332644224558,0.012898172063632809,0.01983873429248549,0.013293941921848055,0.022548931899692374,0.012834782155378019
Vermont,0.001927466173433088,0.000661944639337402,0.0008039970137253776,0.001237496132824585,0.0012838521606476656,0.0002343771127744541,0.0007335158197817634,0.0012240604500455949,0.0012424121524262977,0.0013529181986718832,0.00023980502808586062
Washington,0.02251329741366682,0.01719111454053575,0.011198529834032045,0.023739300814684953,0.023660640113583157,0.016974311667472965,0.016344077451300277,0.03216157345687032,0.03247747138792077,0.030722421470246696,0.0421248810749521
Wisconsin,0.017850374329092013,0.013780271716217877,0.013323379084591972,0.015210889965968857,0.015141903424109234,0.014143757305504557,0.013414995603886513,0.014114974654822521,0.012858042541405495,0.01460715857948018,0.012978143856951087
West Virginia,0.005654308725039322,0.005159434539042288,0.004881410440475507,0.005032484273486645,0.005165616928723549,0.002163481040994961,0.006406121183289289,0.004702258804595556,0.006018840613160732,0.0045452169992568426,0.003255613913904782
Wyoming,0.0018085938960891363,0.0011130937472289334,0.001148567162464825,0.0015674951015778075,0.001555726735843642,0.0001772852519704204,0.0014271801858572173,0.0014454129580136544,0.0011678938014580537,0.0015747138756048672,0.0010426305568950463
