,violent_crime,homicide,rape_revised,robbery,aggravated_assault,property_crime,burglary,larceny,motor_vehicle_theft
Illinois,0.0040689495219353245,6.565749311010628e-05,0.0004796469268308004,0.0009835997525533228,0.0025400453494410944,0.01846490729311912,0.0027172890147359246,0.014265984344317995,0.0014816339340651987
Indiana,0.0037084355098965143,5.599936662785331e-05,0.00036763509921468687,0.0007918637227933316,0.0024929373212606424,0.019710291658664104,0.0032374169645996366,0.014434468040923803,0.0020384066531406657
Kansas,0.004108036414886964,3.6041429107881954e-05,0.00048604441539772233,0.00044382445558563204,0.0031421261147957275,0.02314477601796442,0.0034270250306008897,0.01721922182092284,0.0024985291664406926
Kentucky,0.002171376463765365,4.94664672190646e-05,0.0003518610247437536,0.00048369699393845523,0.0012863519778640916,0.01897385954612166,0.0034566092907873966,0.013235077858204932,0.002282172397129333
Louisiana,0.005493252658646522,0.00011701959691051055,0.0004889440142970414,0.0008658159514058915,0.004021473096033078,0.03161959854534316,0.0057903189515388295,0.023524165622309787,0.0023051139714945425
Massachusetts,0.003275733068233703,2.205294651304468e-05,0.0003197677244391479,0.000524192735208095,0.002409719662073415,0.01179789112895562,0.001790496137615029,0.009117732701748552,0.0008896622895920393
Maryland,0.004541424620555504,8.965079197046486e-05,0.0003164242897407736,0.001522243982480052,0.002613105556364214,0.019501693771420255,0.0027890989929999603,0.014850273252967408,0.0018623215254528853
Maine,0.0011516040624544343,1.4878605458067626e-05,0.0003838680208181448,0.0001398588913058357,0.0006129985448723862,0.012455624559221314,0.001748236141322946,0.010167295039770513,0.0005400933781278548
Michigan,0.004374349207162974,5.567317124897252e-05,0.0007244521474574033,0.0005357040758669118,0.0030585198125896865,0.01585043222307078,0.002860960159938207,0.011212736900107812,0.0017767351630247634
Minnesota,0.002363984033000735,2.074603449303075e-05,0.0004340708755464896,0.0005583697659705456,0.001350797356990669,0.02078788119508507,0.002824120439064109,0.015974801192701935,0.001988959563319025
Missouri,0.00494995623573914,9.254691052994837e-05,0.00047528052467580884,0.0008079931854190388,0.0035741356151143444,0.026386623191343345,0.0043037572090458736,0.018649505949397696,0.003433360032899775
Mississippi,0.002779430734146711,0.00011155355461033705,0.00025099549787325836,0.0005712079603541355,0.0018456737213089801,0.02375788308985874,0.00626984737659304,0.01555701680258616,0.0019310189106795392
Montana,0.004049484551515843,2.5262496046887194e-05,0.0005838443530836151,0.00019180784035599535,0.0032485698620293457,0.02193158916070503,0.0027012157810134565,0.017006338079563765,0.0022240353001278094
North Carolina,0.0037180289555270533,6.025886138974478e-05,0.00030958943501978054,0.0007245365311719472,0.002623644127945581,0.023573037744548955,0.005191319977986446,0.016659668248271087,0.0017220495182914248
North Dakota,0.0028462251102928634,3.1493500528828364e-05,0.0005734441554624165,0.00023488902477751154,0.0020063984295241068,0.019770044956972006,0.003422293724132682,0.013996236526686806,0.002351514706152518
Nebraska,0.0030091893747337685,2.3262931087960762e-05,0.0006477433922936629,0.0004094275871481094,0.0019287554642040355,0.020393319299754756,0.0024529468447194182,0.015363356644513463,0.0025770158105218755
New Hampshire,0.0015253241313779179,2.4269863228288954e-05,0.00043391573650577216,0.00023019597546831643,0.0008369425561755402,0.012092275490894757,0.0012627683382718828,0.010172749944657358,0.0006567572079655162
New Jersey,0.002068746559125621,2.949722984984559e-05,0.00017236740038211297,0.0006451111719069283,0.0012217707569867342,0.013356728464489051,0.0018462789019374726,0.010346772586490494,0.001163676976061084
New Mexico,0.008322090165673977,8.632082062962693e-05,0.0006142608672428701,0.0011164477408505892,0.006505060736950891,0.031127478683287954,0.006967664029827897,0.019888126308821558,0.004271688344638499
